id	subtask_a
15923	OFF
27014	NOT
30530	NOT
13876	NOT
60133	NOT
83681	OFF
96874	OFF
65507	NOT
78910	NOT
46363	NOT
68123	NOT
22452	NOT
15565	OFF
64376	NOT
12588	OFF
34263	OFF
65773	NOT
95457	NOT
24930	NOT
15938	NOT
45712	NOT
70840	NOT
53563	OFF
59432	NOT
21454	NOT
83155	OFF
69576	NOT
49139	NOT
76669	NOT
58995	OFF
88490	NOT
77101	NOT
86917	NOT
78472	NOT
17798	NOT
71873	NOT
30247	NOT
81150	NOT
46444	OFF
60587	OFF
70569	OFF
59200	NOT
30900	OFF
44546	OFF
53982	NOT
37884	NOT
15079	OFF
51628	NOT
30899	OFF
99680	OFF
38628	NOT
40110	OFF
50310	NOT
84101	NOT
84876	NOT
57425	NOT
83262	NOT
46777	NOT
54053	OFF
15998	OFF
62945	OFF
96457	NOT
85977	NOT
70841	OFF
46139	NOT
99009	NOT
66388	NOT
91217	OFF
91994	NOT
58751	NOT
80947	OFF
99253	NOT
40386	OFF
58742	NOT
39752	NOT
25262	NOT
17703	NOT
98916	NOT
18709	NOT
26026	NOT
32190	NOT
27550	OFF
68539	NOT
93643	NOT
99120	NOT
24040	OFF
85436	NOT
73516	OFF
88905	OFF
52955	NOT
33452	NOT
13276	NOT
26462	OFF
94339	NOT
23786	NOT
27371	NOT
88670	NOT
54391	NOT
42112	OFF
37740	NOT
72405	OFF
20780	NOT
38820	NOT
82913	NOT
97383	NOT
21397	NOT
51738	NOT
47445	NOT
27158	NOT
26382	NOT
17183	OFF
10595	NOT
49481	NOT
37949	NOT
96729	NOT
42325	OFF
21748	NOT
24316	NOT
19516	NOT
79383	NOT
64857	NOT
89936	NOT
90362	NOT
75620	NOT
24907	NOT
26259	NOT
76095	NOT
11557	NOT
51963	OFF
15180	OFF
58026	NOT
26432	OFF
76565	OFF
91588	NOT
58033	NOT
81352	NOT
33133	NOT
96661	NOT
91036	NOT
56581	OFF
22882	NOT
66377	NOT
40842	OFF
73612	NOT
45709	NOT
21338	NOT
15630	NOT
15815	NOT
53858	NOT
89606	NOT
30942	NOT
56973	NOT
24049	NOT
79204	OFF
46229	OFF
93101	NOT
42196	OFF
38084	NOT
67973	NOT
72071	NOT
34669	OFF
66054	NOT
15607	NOT
13959	NOT
34575	NOT
27546	NOT
69203	NOT
86385	OFF
20357	OFF
83011	NOT
80059	NOT
52104	NOT
29531	NOT
52445	NOT
12746	NOT
10991	OFF
63725	NOT
57135	OFF
11284	NOT
57107	NOT
72369	OFF
84879	NOT
42192	OFF
20034	NOT
39516	NOT
43587	NOT
10684	OFF
76394	NOT
76692	NOT
41553	NOT
48839	NOT
38718	NOT
56048	NOT
18997	OFF
36720	NOT
51656	NOT
62986	OFF
24430	NOT
19563	NOT
19836	NOT
31033	NOT
70051	OFF
73642	NOT
10727	NOT
73442	NOT
59758	NOT
11781	NOT
11645	OFF
91116	NOT
86437	NOT
86268	NOT
21643	NOT
72274	NOT
95198	NOT
31550	NOT
21524	OFF
84579	OFF
26291	NOT
72424	NOT
28744	NOT
59961	NOT
59519	NOT
51386	OFF
76052	NOT
14837	NOT
57295	NOT
74610	NOT
55653	NOT
10918	NOT
57541	OFF
55318	OFF
80965	NOT
14051	NOT
25125	OFF
81974	NOT
76797	NOT
57494	NOT
49441	NOT
78266	NOT
31401	NOT
80020	NOT
61295	OFF
45518	NOT
53351	OFF
51610	NOT
26758	NOT
30718	NOT
25463	OFF
82558	OFF
85613	OFF
36875	NOT
86142	NOT
87711	NOT
51626	OFF
59423	NOT
80555	NOT
85830	OFF
29102	NOT
85886	OFF
54621	OFF
80397	NOT
76937	NOT
68875	OFF
89591	NOT
67926	NOT
41588	NOT
18091	NOT
56205	NOT
24467	NOT
47245	NOT
32851	NOT
86982	NOT
95247	NOT
74211	NOT
51948	OFF
28196	OFF
71881	NOT
50376	OFF
64161	OFF
45304	NOT
22248	NOT
27228	NOT
57326	NOT
97729	NOT
24957	NOT
68774	NOT
43350	NOT
41709	NOT
71063	NOT
92516	NOT
85100	NOT
89661	NOT
47898	NOT
88523	NOT
19321	NOT
26042	NOT
16694	NOT
88221	NOT
30357	NOT
11021	NOT
26763	NOT
59708	NOT
78244	NOT
11813	NOT
16468	NOT
75637	NOT
71071	NOT
17714	NOT
97610	NOT
63048	OFF
30075	OFF
74237	OFF
60466	NOT
25685	OFF
16333	NOT
78417	OFF
78760	NOT
78261	NOT
40790	NOT
63775	NOT
44108	NOT
98949	NOT
74414	NOT
51525	OFF
84550	NOT
19499	NOT
23530	NOT
84034	NOT
79051	NOT
93740	NOT
54366	NOT
57284	NOT
82565	NOT
59700	OFF
13433	NOT
80197	NOT
90353	OFF
36496	NOT
93321	NOT
79309	NOT
80637	NOT
50793	NOT
84239	NOT
47834	OFF
65426	OFF
81354	NOT
14479	NOT
47696	NOT
75438	NOT
11699	OFF
62379	NOT
71294	NOT
55633	OFF
43864	NOT
40013	NOT
30399	NOT
47886	NOT
87934	NOT
46232	OFF
21869	NOT
35976	NOT
59337	NOT
57732	OFF
17563	NOT
55899	OFF
47396	NOT
46717	NOT
78260	NOT
22695	NOT
27455	NOT
83466	NOT
48657	OFF
89635	OFF
52335	OFF
27360	NOT
53971	NOT
89603	OFF
86611	OFF
44222	NOT
41078	NOT
44625	NOT
21197	NOT
12193	NOT
73484	NOT
96283	NOT
78289	NOT
29485	NOT
67024	OFF
97430	NOT
63985	NOT
65505	NOT
29697	NOT
26695	OFF
86529	OFF
37332	NOT
80612	NOT
89438	NOT
68755	NOT
53675	NOT
31195	OFF
20522	NOT
52866	NOT
65428	OFF
94260	OFF
93256	NOT
78364	NOT
70324	OFF
96847	NOT
89329	NOT
40929	NOT
24798	NOT
99947	NOT
94203	NOT
11100	OFF
83240	OFF
14591	NOT
66094	NOT
59164	NOT
90036	OFF
24047	NOT
81890	OFF
26010	NOT
72037	NOT
56312	NOT
10860	NOT
38829	NOT
78301	OFF
56599	OFF
94607	OFF
72531	OFF
37214	NOT
84952	NOT
98575	OFF
58342	OFF
53914	NOT
76324	NOT
18730	NOT
39429	OFF
72893	NOT
18786	OFF
61004	NOT
46603	NOT
73236	NOT
35785	OFF
84045	NOT
67049	OFF
57804	NOT
82273	OFF
68340	NOT
78646	NOT
13582	NOT
36455	NOT
98994	NOT
92967	NOT
70762	OFF
98216	OFF
42113	NOT
61889	NOT
30365	NOT
68518	NOT
37649	OFF
21394	NOT
14582	OFF
88487	NOT
21714	OFF
50821	NOT
57793	NOT
55400	NOT
59751	NOT
66470	NOT
92215	NOT
11122	NOT
87139	NOT
17311	NOT
89392	NOT
22311	NOT
88188	NOT
35503	NOT
75125	OFF
49210	NOT
21354	NOT
48965	NOT
88939	OFF
22594	NOT
45855	NOT
59159	NOT
77395	NOT
90492	NOT
19410	OFF
67211	NOT
35940	NOT
33394	OFF
96543	NOT
45271	NOT
56513	NOT
59691	OFF
34864	NOT
97956	NOT
49164	NOT
14273	NOT
38323	NOT
84848	OFF
41997	NOT
56637	NOT
65514	NOT
19815	OFF
36737	NOT
97410	NOT
18782	NOT
77746	OFF
42925	NOT
17704	NOT
61674	NOT
42419	NOT
83463	NOT
39860	OFF
93586	NOT
22189	NOT
39918	NOT
51726	NOT
86382	NOT
20568	NOT
14923	NOT
53787	NOT
53660	NOT
61551	NOT
21826	OFF
80230	NOT
24974	NOT
56257	NOT
61311	OFF
79934	NOT
96418	OFF
55048	NOT
77625	NOT
10252	NOT
63128	NOT
70740	NOT
34034	NOT
92341	OFF
84419	NOT
72634	NOT
18825	OFF
70424	NOT
35265	NOT
44869	NOT
22047	NOT
66950	NOT
57443	NOT
76833	NOT
22502	NOT
44206	NOT
82044	NOT
24929	NOT
55832	OFF
32056	OFF
76339	OFF
21266	NOT
83591	NOT
67841	OFF
93576	NOT
44218	OFF
51732	NOT
74605	NOT
58487	NOT
74006	NOT
94427	NOT
96594	NOT
85447	NOT
62689	OFF
72609	NOT
25047	NOT
35968	OFF
99924	NOT
34665	NOT
45053	NOT
56232	NOT
62051	NOT
69036	NOT
14516	OFF
29514	OFF
75770	NOT
89749	NOT
25138	NOT
15866	NOT
91659	NOT
30657	NOT
57185	NOT
33172	NOT
71506	NOT
49079	OFF
91430	NOT
29203	NOT
66750	NOT
27913	NOT
94816	NOT
54004	NOT
41609	NOT
74157	NOT
65187	OFF
42656	NOT
53325	OFF
48503	NOT
36871	NOT
10417	OFF
10611	NOT
66771	NOT
23461	NOT
71455	NOT
46410	NOT
48142	NOT
58191	NOT
65968	NOT
26072	OFF
16856	NOT
89200	OFF
57869	OFF
45269	OFF
85583	NOT
88398	NOT
50667	NOT
90222	NOT
74235	NOT
52352	NOT
95106	NOT
16717	NOT
37049	NOT
58975	NOT
62938	NOT
15437	OFF
21198	NOT
66623	NOT
91472	OFF
27211	NOT
98531	OFF
46018	NOT
19152	NOT
43753	NOT
98685	OFF
31665	OFF
38732	OFF
47022	NOT
66074	OFF
41323	OFF
27613	NOT
61997	NOT
58690	NOT
15977	NOT
31957	NOT
46983	OFF
90529	NOT
91136	OFF
76332	NOT
42929	NOT
82896	NOT
30424	NOT
97795	NOT
22067	OFF
48738	NOT
62374	NOT
95156	OFF
81749	OFF
68363	NOT
79756	NOT
24097	NOT
99563	NOT
92047	NOT
23542	NOT
43453	NOT
69292	NOT
97930	NOT
28354	NOT
74959	NOT
96033	NOT
80440	NOT
98096	NOT
83416	NOT
59687	NOT
86570	NOT
67418	NOT
61929	NOT
58632	OFF
51621	NOT
85309	NOT
57330	NOT
30207	NOT
62237	NOT
92823	OFF
39788	NOT
48820	NOT
35612	NOT
96905	NOT
34122	NOT
17100	NOT
72538	NOT
68371	OFF
24638	NOT
73621	NOT
79778	OFF
87617	NOT
16323	OFF
90328	OFF
71350	NOT
43782	OFF
46378	NOT
18357	NOT
24000	NOT
51286	NOT
10412	NOT
84900	NOT
45147	NOT
58287	OFF
44599	NOT
38726	NOT
36393	OFF
74747	NOT
43173	OFF
58109	NOT
42091	NOT
29475	NOT
19296	OFF
96203	NOT
27467	NOT
42404	OFF
14972	NOT
49426	NOT
82638	NOT
51052	NOT
32059	OFF
77649	NOT
32061	OFF
88660	OFF
63129	NOT
79653	NOT
99016	NOT
57283	NOT
74797	OFF
25177	NOT
68831	NOT
60621	OFF
87428	NOT
39400	NOT
90355	OFF
38003	NOT
62788	OFF
28484	NOT
91471	NOT
84343	NOT
88745	OFF
70443	NOT
90402	OFF
90327	OFF
85687	NOT
88177	NOT
31022	NOT
65545	OFF
56129	OFF
51851	NOT
31997	NOT
89493	OFF
34903	NOT
40766	NOT
58543	OFF
53194	NOT
79222	OFF
72401	NOT
37002	NOT
31354	OFF
99347	NOT
60713	NOT
89054	NOT
29008	NOT
96333	NOT
19770	OFF
41590	NOT
72523	NOT
25783	NOT
16683	NOT
14640	NOT
31641	NOT
23762	NOT
45984	NOT
74909	OFF
88822	OFF
89432	NOT
38070	NOT
96397	NOT
37342	NOT
77917	NOT
31499	NOT
52547	NOT
34030	OFF
21054	NOT
60546	NOT
98396	OFF
29882	NOT
90581	OFF
69073	OFF
49338	NOT
22812	NOT
29113	NOT
13097	NOT
98816	NOT
77222	NOT
95258	NOT
36892	NOT
51589	NOT
48945	NOT
74448	NOT
76036	OFF
11286	OFF
36500	NOT
21677	NOT
73105	NOT
41821	OFF
72213	OFF
14258	NOT
13131	NOT
76379	OFF
25354	NOT
89417	NOT
68256	NOT
78984	NOT
52080	NOT
25127	NOT
48650	NOT
51762	NOT
71592	OFF
28558	NOT
32141	NOT
80406	NOT
73366	NOT
26454	NOT
78688	NOT
76135	NOT
30778	OFF
48418	NOT
10313	NOT
78950	NOT
13993	NOT
32492	NOT
50781	NOT
22569	OFF
87317	NOT
53862	NOT
89424	NOT
22470	NOT
48938	OFF
85360	NOT
90032	NOT
31182	NOT
83464	NOT
51218	NOT
41438	OFF
72867	OFF
73439	NOT
25657	NOT
67018	NOT
50665	OFF
24583	NOT
